date,pm25,pm10,no2,so2,co,o3,month,dayofweek,is_winter,pm25_lag1,pm25_lag7,pm25_lag14,pm25_roll3,pm25_roll7,pm25_roll14,pm25_std7,pm10_roll7,no2_roll7,so2_roll7,co_roll7,o3_roll7,pm25_tomorrow,unsafe_tomorrow,isoforest_flag,ocsvm_flag,is_high_pm25
2016-03-04,223.0,144.0,27.0,6.0,10.0,31.0,3,4,0,253.0,188.0,219.0,252.0,245.28571428571428,228.07142857142858,27.735141882422347,268.57142857142856,49.857142857142854,13.857142857142858,10.714285714285714,43.857142857142854,192.0,1,-1,-1,0
2016-03-05,192.0,101.0,21.0,9.0,5.0,18.0,3,5,0,223.0,210.0,308.0,222.66666666666666,242.71428571428572,219.78571428571428,32.05055530311608,250.0,45.142857142857146,12.714285714285714,10.0,38.42857142857143,121.0,0,-1,-1,0
2016-03-06,121.0,76.0,26.0,7.0,7.0,14.0,3,6,0,192.0,221.0,228.0,178.66666666666666,228.42857142857142,212.14285714285714,56.3881108711675,220.42857142857142,41.857142857142854,11.428571428571429,9.428571428571429,35.42857142857143,105.0,0,-1,-1,0
2016-03-07,105.0,130.0,24.0,12.0,9.0,26.0,3,0,0,121.0,254.0,154.0,139.33333333333334,207.14285714285714,208.64285714285714,71.28213561014374,189.28571428571428,37.857142857142854,11.142857142857142,9.142857142857142,33.285714285714285,166.0,1,-1,1,0
2016-03-08,166.0,102.0,22.0,8.0,7.0,26.0,3,1,0,105.0,276.0,162.0,130.66666666666666,191.42857142857142,208.92857142857142,65.45954766840718,156.57142857142858,32.42857142857143,10.285714285714286,8.285714285714286,29.428571428571427,139.0,0,1,1,0
2016-03-09,139.0,144.0,29.0,12.0,10.0,28.0,3,2,0,166.0,280.0,140.0,136.66666666666666,171.28571428571428,208.85714285714286,54.426446652691,136.0,28.714285714285715,10.142857142857142,8.142857142857142,25.571428571428573,175.0,1,1,1,0
2016-03-10,175.0,212.0,29.0,16.0,14.0,26.0,3,3,0,139.0,253.0,296.0,160.0,160.14285714285714,200.21428571428572,41.31355133378957,129.85714285714286,25.428571428571427,10.0,8.857142857142858,24.142857142857142,211.0,1,1,1,0
2016-03-11,211.0,146.0,33.0,12.0,15.0,271.0,3,4,0,175.0,223.0,188.0,175.0,158.42857142857142,201.85714285714286,38.418125682450025,130.14285714285714,26.285714285714285,10.857142857142858,9.571428571428571,58.42857142857143,161.0,1,-1,-1,0
2016-03-12,161.0,79.0,21.0,8.0,8.0,194.0,3,5,0,211.0,192.0,210.0,182.33333333333334,154.0,198.35714285714286,35.58557760292062,127.0,26.285714285714285,10.714285714285714,10.0,83.57142857142857,102.0,0,1,-1,0
2016-03-13,102.0,65.0,19.0,9.0,6.0,134.66666666666666,3,6,0,161.0,121.0,221.0,158.0,151.28571428571428,189.85714285714286,39.075628746124075,125.42857142857143,25.285714285714285,11.0,9.857142857142858,100.80952380952381,77.0,0,1,-1,0
2016-03-14,77.0,81.0,21.0,9.0,10.0,75.33333333333333,3,0,0,102.0,105.0,254.0,113.33333333333333,147.28571428571428,177.21428571428572,45.507194616949576,118.42857142857143,24.857142857142858,10.571428571428571,10.0,107.85714285714286,102.0,0,1,1,0
2016-03-15,102.0,151.0,29.0,14.0,14.0,16.0,3,1,0,77.0,166.0,276.0,93.66666666666667,138.14285714285714,164.78571428571428,47.50588935921209,125.42857142857143,25.857142857142858,11.428571428571429,11.0,106.42857142857143,158.0,1,-1,-1,0
2016-03-16,158.0,106.0,32.0,9.0,7.0,23.0,3,2,0,102.0,139.0,280.0,112.33333333333333,140.85714285714286,156.07142857142858,48.102074007361644,120.0,26.285714285714285,11.0,10.571428571428571,105.71428571428571,144.0,0,1,-1,0
2016-03-17,144.0,108.0,41.0,12.0,8.0,33.0,3,3,0,158.0,175.0,253.0,134.66666666666666,136.42857142857142,148.28571428571428,45.80704874018729,105.14285714285714,28.0,10.428571428571429,9.714285714285714,106.71428571428571,134.0,0,1,-1,0
2016-03-18,134.0,114.0,47.0,15.0,10.0,23.0,3,4,0,144.0,211.0,223.0,145.33333333333334,125.42857142857143,141.92857142857142,32.11363751252592,100.57142857142857,30.0,10.857142857142858,9.0,71.28571428571429,138.0,0,1,-1,0
